Европа;Геормания;Берлин;В городе Ройтлинген есть улица, ширина которой составляет 31 см. За это она попала в Книгу рекордов Гиннеса как самая узкая в мире.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\germany.gif;;;;
;Мадагаскар;Антананариву; Мадагаскар — первый в мире производитель ванили.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\madagaskar.gif;;;;
;Сомали;Могадишо;Для жителей Сомали взять с собой перед выходом из дома огнестрельное оружие так же естественно, как обуть ботинки. Даже, пожалуй, более естественно, потому что ботинки тут есть не у всех, а вот пистолет или автомат найдётся в каждой, даже самой бедной, хижине.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\somali.gif;;;;
;Египет;Каир;В Египте находится одно из семи чудес древнего мира – Великая пирамида в Гизе (Пирамида Хеопса). Это единственное из всех семи чудес, которое сохранилось до наших дней.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\egyot.gif;;;;
;Зимбабве;Хараре;Значительную долю дохода страны составляет экспорт кофе, по производству которого она занимает одну из лидирующих позиций в мире.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\zimbabve.gif;;;;
Америка;Канада;Оттава;В Канаде расположено больше озер, чем во всех остальных странах мира вместе взятых. Только в провинции Онтарио их насчитывается 250 000. Они содержат около 1/5 мировых запасов пресной воды.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\canada.gif;;;;
;США;Вашингтон;В Штатах самая протяженная сеть автомобильных дорог на планете — 6,5 млн км. Наиболее безлюдная автострада — Трасса-50 (Юта-Калифорния). Она ведет через пустыню, где на 200–300 км встречается всего один населенный пункт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\usa.gif;;;;
;Куба;Гавана;На Кубе жителям до сих пор выдают продукты первой необходимости по карточкам, что позволяет даже семьям с мизерным доходом не страдать от голода.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\cuba.gif;;;;
;Гондурас;Тегусигальпа;Гондурас – это «банановая республика» в прямом смысле слова, страна занимает второе место в мире по экспорту бананов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\gonduras.gif;;;;
;Бразилия;Бразилиа; Бразилия считается самым крупным экспортером яблок на планете. Среди мировых поставщиков кофе эта страна также находится в лидерах. Кроме того, в стране выращивают сахарный тростник, кукурузу, рис и цитрусовые.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\braziliya.gif;;;;
Австралия и Океания;Австралия;Канберра;Австралия – единственный материк на Земле, где нет ни одного вулкана или современного оледенения ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\avstraliya.gif;;;;
;Новая Зеландия;Веллингтон;Воду в Голубом озере, которое находится в национальном парке Нельсон-Лейкс, считают самой прозрачной в мире.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\newzeland.gif;;;;
;Фиджи;Сува;Несмотря на скромные размеры государства, на его территории находится почти три десятка аэропортов, пусть большинство из них и не имеет твёрдого покрытия. Просто в состав Фиджи входит 332 острова, и между ними нужно как-то перемещаться, так что лёгкие самолёты отлично подходят для этой цели.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\fidgi.gif;;;;
;Науру;Ярен;Жители Науру считаются самыми толстыми в мире, по статистике, около 95% населения страдает от той или иной степени ожирения.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\nauru.gif;;;;
;Самоа;Апиа;На Самоа практически нет диких животных. Здесь обитает большое количество птиц, особенно певчих, и насекомых, а также коренные обитатели этих мест – летучие лисы.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\samoa.gif;;;;
